298,300,T,345,K
360,360,P,414,L
240,240,K,286,P
300,300,T,352,L
238,240,P,294,L
240,240,P,287,T
300,300,P,347,T
359,360,K,406,P
297,300,K,353,L
179,180,P,227,T
298,300,T,352,L
360,360,P,414,L
300,300,T,347,P
236,240,L,294,P
358,360,L,414,P
300,300,K,346,P
357,360,P,407,T
180,180,P,234,L
358,360,L,412,T
358,360,K,405,T
356,360,L,413,K
356,360,P,407,T
178,180,T,232,L
177,180,P,226,K
297,300,P,347,T
176,180,L,233,K
298,300,L,353,K
239,240,L,292,T
298,300,K,353,L
177,180,P,226,K
297,300,T,352,L
296,300,L,353,K
180,180,T,232,L
357,360,L,413,K
177,180,L,234,P
358,360,P,414,L
236,240,L,293,K
297,300,L,352,T
296,300,L,352,T
357,360,T,405,K
297,300,L,354,P
237,240,T,285,K
296,300,L,353,K
360,360,P,406,K
359,360,K,405,T
177,180,K,225,T
299,300,L,354,P
176,180,L,233,K
180,180,K,226,P
238,240,P,286,K
179,180,L,233,K
176,180,K,233,L
239,240,L,293,K
299,300,K,353,L
180,180,K,225,T
179,180,K,225,T
360,360,P,406,K
359,360,T,412,L
359,360,T,405,K
356,360,P,406,K
179,180,K,226,P
360,360,P,406,K
297,300,K,353,L
236,240,T,292,L
179,180,K,233,L
238,240,L,294,P
239,240,T,287,P
298,300,T,352,L
298,300,P,354,L
299,300,K,353,L
357,360,P,414,L
297,300,P,354,L
239,240,K,285,T
176,180,T,232,L
300,300,T,352,L
240,240,T,285,K
236,240,P,287,T
299,300,P,346,K
179,180,L,234,P
176,180,T,227,P
236,240,L,293,K
239,240,P,287,T
177,180,P,234,L
357,360,K,413,L
177,180,L,234,P
239,240,T,292,L
356,360,T,412,L
356,360,K,405,T
179,180,T,227,P
300,300,T,345,K
179,180,T,225,K
240,240,T,292,L
177,180,K,226,P
360,360,T,412,L
359,360,K,413,L
238,240,T,292,L
240,240,K,293,L
359,360,P,414,L
357,360,T,405,K
357,360,T,412,L
236,240,L,292,T
299,300,K,353,L
299,300,P,354,L
359,360,P,414,L
180,180,T,225,K
356,360,K,413,L
178,180,L,234,P
297,300,T,347,P
237,240,L,294,P
359,360,T,405,K
240,240,T,285,K
177,180,P,227,T
298,300,T,347,P
296,300,K,345,T
298,300,L,353,K
237,240,K,285,T
240,240,T,292,L
357,360,T,407,P
296,300,K,346,P
360,360,T,412,L
297,300,K,346,P
298,300,T,347,P
239,240,L,294,P
238,240,P,287,T
358,360,L,414,P
236,240,T,287,P
179,180,K,226,P
239,240,K,293,L
359,360,K,406,P
300,300,P,354,L
178,180,T,232,L
238,240,P,287,T
360,360,K,413,L
176,180,L,233,K
239,240,L,294,P
239,240,K,285,T
177,180,P,227,T
176,180,K,233,L
360,360,L,414,P
300,300,L,353,K
359,360,T,407,P
360,360,P,407,T
357,360,P,414,L
357,360,P,414,L
237,240,K,285,T
240,240,L,292,T
296,300,T,347,P
180,180,L,233,K
236,240,L,292,T
300,300,T,345,K
180,180,P,226,K
357,360,K,405,T
298,300,L,354,P
296,300,P,354,L
298,300,T,352,L
356,360,K,413,L
300,300,P,346,K
179,180,P,226,K
300,300,K,346,P
176,180,P,226,K
356,360,P,406,K
176,180,P,234,L
176,180,T,225,K
358,360,K,413,L
240,240,K,286,P
236,240,K,285,T
179,180,P,227,T
237,240,K,286,P
357,360,T,407,P
296,300,L,353,K
177,180,P,226,K
240,240,L,294,P
359,360,P,407,T
297,300,L,354,P
180,180,P,227,T
297,300,T,345,K
297,300,K,345,T
357,360,K,406,P
178,180,P,226,K
358,360,L,414,P
180,180,T,225,K
238,240,T,287,P
297,300,T,345,K
180,180,K,226,P
356,360,T,405,K
300,300,K,353,L
176,180,L,232,T
296,300,P,346,K
237,240,L,294,P
240,240,P,286,K
299,300,K,346,P
297,300,L,353,K
179,180,K,225,T
176,180,L,233,K
299,300,L,354,P
297,300,P,354,L
358,360,P,407,T
177,180,T,227,P
178,180,P,227,T
298,300,T,347,P
237,240,T,292,L
180,180,T,225,K
356,360,K,406,P
300,300,P,347,T
298,300,L,354,P
357,360,P,407,T
180,180,L,233,K
360,360,T,407,P
296,300,L,354,P
237,240,T,292,L
179,180,L,234,P
237,240,P,294,L
358,360,K,413,L
238,240,L,293,K
178,180,L,234,P
237,240,T,292,L
176,180,L,232,T
179,180,L,234,P
180,180,P,234,L
296,300,K,353,L
240,240,L,292,T
177,180,P,234,L
359,360,T,407,P
356,360,P,414,L
357,360,T,405,K
176,180,P,227,T
178,180,L,232,T
179,180,K,226,P
357,360,K,405,T
237,240,P,294,L
359,360,P,407,T
176,180,L,232,T
360,360,T,412,L
237,240,P,287,T
177,180,L,232,T
179,180,L,234,P
176,180,T,227,P
177,180,K,233,L
177,180,L,234,P
360,360,P,406,K
300,300,T,352,L
177,180,P,234,L
357,360,T,412,L
296,300,P,354,L
300,300,L,352,T
239,240,T,292,L
237,240,T,292,L
180,180,L,234,P
236,240,P,294,L
179,180,L,232,T
176,180,K,225,T
297,300,L,352,T
237,240,P,287,T
297,300,L,354,P
358,360,K,406,P
300,300,P,354,L
236,240,P,294,L
239,240,P,286,K
359,360,K,406,P
177,180,L,232,T
300,300,L,352,T
180,180,K,225,T
240,240,P,287,T
180,180,T,227,P
359,360,K,405,T
360,360,L,414,P
236,240,K,293,L
296,300,K,346,P
177,180,L,233,K
359,360,K,406,P
300,300,T,347,P
178,180,P,234,L
360,360,K,406,P
